State,Year,Corrections -  General Fund,Corrections -  Federal Funds,Corrections -  Other State Funds,Corrections -  Bond Funds,Corrections -  Total Funds,Total All Spending - General Fund,Total All Spending - Federal Funds,Total All Spending - Other State Funds,Total All Spending - Bond Funds,Total All Spending - Total Funds,General Fund - % Corrections,Federal Funds - % Corrections,Other State Funds - % Corrections,Bond Funds - % Corrections,Total Funds - % Corrections
New Mexico,2006,$228.0M,$3.0M,$19.0M,$1.0M,$251.0M,"$5,415.0M","$4,098.0M","$2,894.0M",$490.0M,"$12,897.0M",4.2%,0.1%,0.7%,0.2%,1.9%
New Mexico,2007,$241.0M,$3.0M,$15.0M,$1.0M,$260.0M,"$5,985.0M","$4,226.0M","$3,467.0M",$844.0M,"$14,522.0M",4.0%,0.1%,0.4%,0.1%,1.8%
New Mexico,2008,$271.0M,$3.0M,$17.0M,$0.0M,$291.0M,"$6,027.0M","$4,506.0M","$3,091.0M",$583.0M,"$14,207.0M",4.5%,0.1%,0.5%,0.0%,2.0%
New Mexico,2009,$289.0M,$3.0M,$23.0M,$0.0M,$315.0M,"$6,080.0M","$4,843.0M","$3,873.0M",$583.0M,"$15,379.0M",4.8%,0.1%,0.6%,0.0%,2.0%
New Mexico,2010,$349.0M,$23.0M,$23.0M,$0.0M,$395.0M,"$5,305.0M","$5,502.0M","$3,961.0M",$605.0M,"$15,373.0M",6.6%,0.4%,0.6%,0.0%,2.6%
New Mexico,2011,$263.0M,$1.7M,$21.0M,$0.0M,$285.7M,"$5,230.5M","$6,109.9M","$3,006.4M",$0.0M,"$14,346.8M",5.0%,0.0%,0.7%,,2.0%
New Mexico,2012,$257.0M,$0.9M,$22.0M,$0.0M,$279.9M,"$5,464.0M","$5,790.1M","$3,120.5M",$0.0M,"$14,374.6M",4.7%,0.0%,0.7%,,1.9%
New Mexico,2013,$266.0M,$2.5M,$22.0M,$0.0M,$290.5M,"$5,650.7M","$5,799.0M","$3,245.8M",$0.0M,"$14,695.5M",4.7%,0.0%,0.7%,,2.0%
New Mexico,2014,$271.0M,$0.0M,$29.0M,$0.0M,$300.0M,"$5,905.2M","$6,028.1M","$4,160.0M",$0.0M,"$16,093.3M",4.6%,0.0%,0.7%,,1.9%
New Mexico,2015,$285.0M,$0.0M,$28.0M,$5.0M,$318.0M,"$6,139.0M","$6,580.0M","$4,376.0M",$5.0M,"$17,100.0M",4.6%,0.0%,0.6%,100.0%,1.9%
New Mexico,2016,$297.0M,$0.0M,$30.0M,$6.0M,$333.0M,"$6,220.0M","$7,730.0M","$4,536.0M",$474.0M,"$18,960.0M",4.8%,0.0%,0.7%,1.3%,1.8%
New Mexico,2017,$294.0M,$0.0M,$33.0M,$9.0M,$336.0M,"$6,065.0M","$8,128.0M","$4,842.0M",$662.0M,"$19,697.0M",4.8%,0.0%,0.7%,1.4%,1.7%
New Mexico,2018,$298.0M,$0.0M,$34.0M,$6.0M,$338.0M,"$6,102.0M","$8,496.0M","$5,355.0M",$507.0M,"$20,460.0M",4.9%,0.0%,0.6%,1.2%,1.7%
New Mexico,2019,$306.0M,$0.0M,$34.0M,$6.0M,$346.0M,"$6,364.0M","$8,474.0M","$5,409.0M",$287.0M,"$20,534.0M",4.8%,0.0%,0.6%,2.1%,1.7%
New York,1991,"$1,945.0M",$11.6M,$126.3M,$413.2M,"$2,496.1M","$27,629.8M","$11,457.8M","$8,040.2M","$1,781.5M","$48,909.3M",7.0%,0.1%,1.6%,23.2%,5.1%
New York,1992,"$1,775.4M",$10.0M,$115.5M,$174.3M,"$2,075.2M","$28,057.5M","$13,655.4M","$8,917.4M","$1,698.0M","$52,328.3M",6.3%,0.1%,1.3%,10.3%,4.0%
New York,1993,"$1,746.0M",$29.2M,$102.0M,$128.5M,"$2,005.7M","$29,069.1M","$16,313.6M","$7,797.6M","$1,617.5M","$54,797.8M",6.0%,0.2%,1.3%,7.9%,3.7%
New York,1994,"$1,863.8M",$37.2M,$104.8M,$136.9M,"$2,142.7M","$30,152.3M","$18,252.9M","$8,200.0M","$1,302.1M","$57,907.3M",6.2%,0.2%,1.3%,10.5%,3.7%
New York,1995,"$2,411.2M",$33.2M,$105.4M,$291.9M,"$2,841.7M","$30,578.3M","$20,479.6M","$13,797.3M","$1,821.2M","$66,676.4M",7.9%,0.2%,0.8%,16.0%,4.3%
New York,1996,"$2,480.7M",$122.5M,$36.0M,$154.6M,"$2,793.8M","$30,907.9M","$21,276.5M","$14,762.2M","$1,741.4M","$68,688.0M",8.0%,0.6%,0.2%,8.9%,4.1%
New York,1997,"$2,500.0M",$101.6M,$25.8M,$126.4M,"$2,753.8M","$30,636.4M","$20,317.5M","$14,395.6M","$1,579.1M","$66,928.6M",8.2%,0.5%,0.2%,8.0%,4.1%
New York,1998,"$2,348.6M",$71.0M,$19.0M,$230.4M,"$2,669.0M","$31,444.0M","$21,922.9M","$16,799.2M","$1,529.5M","$71,695.6M",7.5%,0.3%,0.1%,15.1%,3.7%
New York,1999,"$2,401.0M",$139.0M,$23.0M,$336.0M,"$2,899.0M","$33,717.0M","$20,680.0M","$15,037.0M","$1,906.0M","$71,340.0M",7.1%,0.7%,0.2%,17.6%,4.1%
New York,2000,"$2,367.0M",$273.0M,$24.0M,$268.0M,"$2,932.0M","$34,281.0M","$21,609.0M","$15,516.0M","$1,861.0M","$73,267.0M",6.9%,1.3%,0.2%,14.4%,4.0%
New York,2001,"$2,275.0M",$183.0M,$30.0M,$213.0M,"$2,701.0M","$36,840.0M","$25,570.0M","$15,417.0M","$1,927.0M","$79,754.0M",6.2%,0.7%,0.2%,11.1%,3.4%
New York,2002,"$2,196.0M",$160.0M,$36.0M,$206.0M,"$2,598.0M","$41,222.0M","$28,066.0M","$13,996.0M","$1,760.0M","$85,044.0M",5.3%,0.6%,0.3%,11.7%,3.1%
New York,2003,"$2,261.0M",$190.0M,$38.0M,$193.0M,"$2,682.0M","$37,612.4M","$33,303.0M","$16,209.0M","$1,931.0M","$89,055.4M",6.0%,0.6%,0.2%,10.0%,3.0%
New York,2004,"$2,261.9M",$284.9M,$30.0M,$185.0M,"$2,761.9M","$42,066.0M","$35,995.0M","$17,328.0M","$1,938.0M","$97,327.0M",5.4%,0.8%,0.2%,9.5%,2.8%
New York,2005,"$2,395.6M",$306.5M,$33.8M,$180.0M,"$2,915.9M","$43,619.0M","$36,697.0M","$18,561.0M","$1,791.0M","$100,668.0M",5.5%,0.8%,0.2%,10.1%,2.9%
New York,2006,"$2,407.1M",$151.2M,$38.8M,$250.0M,"$2,847.1M","$46,495.0M","$34,618.0M","$21,373.0M","$1,855.0M","$104,341.0M",5.2%,0.4%,0.2%,13.5%,2.7%
New York,2007,"$2,888.8M",$193.0M,$45.1M,$212.0M,"$3,338.9M","$51,591.0M","$35,453.0M","$23,476.0M","$2,244.0M","$112,764.0M",5.6%,0.5%,0.2%,9.4%,3.0%
New York,2008,"$2,871.2M",$181.9M,$61.9M,$254.0M,"$3,369.0M","$53,384.9M","$34,679.8M","$26,122.0M","$1,869.0M","$116,055.7M",5.4%,0.5%,0.2%,13.6%,2.9%
New York,2009,"$2,807.0M",$167.0M,$84.0M,$279.0M,"$3,337.0M","$54,607.0M","$34,668.0M","$29,144.0M","$3,153.0M","$121,572.0M",5.1%,0.5%,0.3%,8.8%,2.7%
New York,2010,"$3,035.0M",$117.0M,$69.0M,$264.0M,"$3,485.0M","$54,262.0M","$40,834.0M","$30,578.0M","$3,263.0M","$128,937.0M",5.6%,0.3%,0.2%,8.1%,2.7%
New York,2011,"$2,771.0M",$122.0M,$66.0M,$216.0M,"$3,175.0M","$53,313.0M","$44,707.0M","$31,163.0M","$3,582.0M","$132,765.0M",5.2%,0.3%,0.2%,6.0%,2.4%
New York,2012,"$2,648.0M",$102.0M,$81.0M,$240.0M,"$3,071.0M","$56,489.0M","$40,311.0M","$32,843.0M","$3,861.0M","$133,504.0M",4.7%,0.3%,0.2%,6.2%,2.3%
New York,2013,"$2,918.0M",$110.0M,$73.0M,$192.0M,"$3,293.0M","$58,960.0M","$38,574.0M","$32,305.0M","$3,258.0M","$133,097.0M",4.9%,0.3%,0.2%,5.9%,2.5%
New York,2014,"$2,747.0M",$86.0M,$68.0M,$231.0M,"$3,132.0M","$61,243.0M","$41,171.0M","$31,672.0M","$3,440.0M","$137,526.0M",4.5%,0.2%,0.2%,6.7%,2.3%
New York,2015,"$2,809.0M",$27.0M,$46.0M,$208.0M,"$3,090.0M","$62,856.0M","$45,743.0M","$31,768.0M","$3,524.0M","$143,891.0M",4.5%,0.1%,0.1%,5.9%,2.1%
New York,2016,"$2,697.0M",$25.0M,$24.0M,$238.0M,"$2,984.0M","$68,042.0M","$49,476.0M","$29,441.0M","$3,748.0M","$150,707.0M",4.0%,0.1%,0.1%,6.4%,2.0%
New York,2017,"$2,646.0M",$23.0M,$33.0M,$271.0M,"$2,973.0M","$68,080.0M","$52,985.0M","$31,519.0M","$4,431.0M","$157,015.0M",3.9%,0.0%,0.1%,6.1%,1.9%
New York,2018,"$2,635.0M",$28.0M,$9.0M,$348.0M,"$3,020.0M","$69,724.0M","$56,808.0M","$32,502.0M","$4,710.0M","$163,744.0M",3.8%,0.0%,0.0%,7.4%,1.8%
New York,2019,"$2,605.0M",$4.0M,$120.0M,$251.0M,"$2,980.0M","$72,783.0M","$60,416.0M","$31,138.0M","$6,538.0M","$170,875.0M",3.6%,0.0%,0.4%,3.8%,1.7%
North Carolina,1991,$410.7M,$0.0M,$7.1M,$75.0M,$492.8M,"$7,429.6M","$2,929.9M","$2,438.4M",$75.0M,"$12,872.9M",5.5%,0.0%,0.3%,100.0%,3.8%
North Carolina,1992,$446.5M,$0.0M,$18.4M,$103.4M,$568.3M,"$7,652.7M","$3,501.0M","$2,487.4M",$157.5M,"$13,798.6M",5.8%,0.0%,0.7%,65.7%,4.1%
North Carolina,1993,$489.0M,$0.0M,$18.1M,$0.0M,$507.1M,"$7,879.0M","$4,155.1M","$3,491.3M",$0.0M,"$15,525.4M",6.2%,0.0%,0.5%,,3.3%
North Carolina,1994,$586.7M,$0.0M,$17.8M,$87.5M,$692.0M,"$9,003.6M","$4,421.1M","$3,515.1M",$827.5M,"$17,767.3M",6.5%,0.0%,0.5%,10.6%,3.9%
North Carolina,1995,$680.8M,$0.0M,$22.5M,$0.0M,$703.3M,"$10,034.4M","$4,526.8M","$4,016.0M",$0.0M,"$18,577.2M",6.8%,0.0%,0.6%,,3.8%
North Carolina,1996,$768.0M,$0.0M,$33.3M,$0.0M,$801.3M,"$9,809.4M","$4,593.5M","$3,767.0M",$23.9M,"$18,193.8M",7.8%,0.0%,0.9%,0.0%,4.4%
North Carolina,1997,$850.2M,$0.0M,$43.7M,$0.0M,$893.9M,"$10,464.9M","$5,550.6M","$4,031.8M",$645.0M,"$20,692.3M",8.1%,0.0%,1.1%,0.0%,4.3%
North Carolina,1998,$824.5M,$0.1M,$26.4M,$0.0M,$851.0M,"$11,495.5M","$5,929.4M","$3,993.8M",$700.0M,"$22,118.7M",7.2%,0.0%,0.7%,0.0%,3.8%
North Carolina,1999,$887.7M,$4.0M,$26.4M,$0.0M,$918.1M,"$12,961.7M","$6,121.7M","$4,162.2M",$450.0M,"$23,695.6M",6.8%,0.1%,0.6%,0.0%,3.9%
North Carolina,2000,$899.6M,$4.3M,$27.0M,$0.0M,$930.9M,"$14,094.2M","$6,941.6M","$4,601.0M",$200.0M,"$25,836.8M",6.4%,0.1%,0.6%,0.0%,3.6%
North Carolina,2001,$900.0M,$1.0M,$28.0M,$0.0M,$929.0M,"$13,446.1M","$7,574.0M","$5,250.0M",$689.0M,"$26,959.1M",6.7%,0.0%,0.5%,0.0%,3.4%
North Carolina,2002,$878.0M,$7.0M,$25.0M,$0.0M,$910.0M,"$13,740.0M","$8,141.0M","$5,650.3M",$605.0M,"$28,136.3M",6.4%,0.1%,0.4%,0.0%,3.2%
North Carolina,2003,$981.0M,$1.3M,$30.0M,$0.0M,"$1,012.3M","$13,855.5M","$8,337.3M","$5,875.0M",$712.0M,"$28,779.8M",7.1%,0.0%,0.5%,0.0%,3.5%
North Carolina,2004,"$1,078.0M",$3.0M,$52.0M,$0.0M,"$1,133.0M","$14,705.0M","$9,506.0M","$6,224.0M",$712.0M,"$31,147.0M",7.3%,0.0%,0.8%,0.0%,3.6%
North Carolina,2005,$995.0M,$3.0M,$46.0M,$98.0M,"$1,142.0M","$15,871.0M","$10,224.0M","$7,454.0M","$1,260.0M","$34,809.0M",6.3%,0.0%,0.6%,7.8%,3.3%
North Carolina,2006,"$1,077.0M",$4.0M,$125.0M,$0.0M,"$1,206.0M","$17,196.0M","$10,163.0M","$7,237.0M",$370.0M,"$34,966.0M",6.3%,0.0%,1.7%,0.0%,3.4%
North Carolina,2007,"$1,155.7M",$1.4M,$120.1M,$0.0M,"$1,277.2M","$18,662.1M","$10,908.4M","$9,133.0M",$803.0M,"$39,506.5M",6.2%,0.0%,1.3%,0.0%,3.2%
North Carolina,2008,"$1,254.0M",$3.0M,$127.0M,$0.0M,"$1,384.0M","$20,376.0M","$10,914.0M","$10,098.0M",$200.0M,"$41,588.0M",6.2%,0.0%,1.3%,0.0%,3.3%
North Carolina,2009,"$1,256.0M",$157.0M,$125.0M,$200.0M,"$1,738.0M","$19,651.9M","$15,108.1M","$11,956.5M",$600.0M,"$47,316.5M",6.4%,1.0%,1.0%,33.3%,3.7%
North Carolina,2010,"$1,264.0M",$7.0M,$141.0M,$0.0M,"$1,412.0M","$18,513.0M","$17,163.0M","$12,583.0M",$488.0M,"$48,747.0M",6.8%,0.0%,1.1%,0.0%,2.9%
North Carolina,2011,"$1,288.0M",$5.0M,$150.0M,$0.0M,"$1,443.0M","$18,503.0M","$17,711.0M","$14,220.0M",$473.0M,"$50,907.0M",7.0%,0.0%,1.1%,0.0%,2.8%
North Carolina,2012,"$1,645.0M",$155.0M,$150.0M,$0.0M,"$1,950.0M","$20,195.0M","$14,513.0M","$14,562.0M",$652.0M,"$49,922.0M",8.1%,1.1%,1.0%,0.0%,3.9%
North Carolina,2013,"$1,655.1M",$107.7M,$178.2M,$0.0M,"$1,941.0M","$20,202.1M","$12,637.5M","$9,787.8M",$231.0M,"$42,858.4M",8.2%,0.9%,1.8%,0.0%,4.5%
North Carolina,2014,"$1,694.1M",$110.0M,$180.0M,$0.0M,"$1,984.1M","$20,233.7M","$12,774.9M","$9,857.3M",$187.0M,"$43,053.0M",8.4%,0.9%,1.8%,0.0%,4.6%
North Carolina,2015,"$1,726.6M",$182.0M,$176.5M,$0.0M,"$2,085.1M","$20,666.2M","$13,159.3M","$9,870.0M",$100.8M,"$43,796.3M",8.4%,1.4%,1.8%,0.0%,4.8%
North Carolina,2016,"$1,849.9M",$80.7M,$99.7M,$0.0M,"$2,030.2M","$21,205.1M","$14,487.4M","$10,030.9M",$217.8M,"$45,941.2M",8.7%,0.6%,1.0%,0.0%,4.4%
North Carolina,2017,"$1,469.0M",$2.0M,$30.0M,$2.0M,"$1,503.0M","$22,142.9M","$14,778.0M","$10,706.9M",$537.8M,"$48,165.6M",6.6%,0.0%,0.3%,0.4%,3.1%
North Carolina,2018,"$1,529.0M",$1.0M,$28.0M,$3.0M,"$1,561.0M","$22,746.4M","$15,295.5M","$11,541.7M",$248.0M,"$49,831.6M",6.7%,0.0%,0.2%,1.2%,3.1%
North Carolina,2019,"$1,576.0M",$3.0M,$25.0M,$3.0M,"$1,607.0M","$23,665.8M","$14,438.0M","$13,009.1M",$399.6M,"$51,512.5M",6.7%,0.0%,0.2%,0.8%,3.1%
North Dakota,1991,$10.2M,$1.9M,$3.7M,$4.0M,$19.8M,$524.7M,$441.9M,$602.9M,$30.0M,"$1,599.5M",1.9%,0.4%,0.6%,13.3%,1.2%
North Dakota,1992,$13.2M,$1.2M,$4.8M,$0.0M,$19.2M,$562.3M,$500.8M,$500.5M,$3.0M,"$1,566.6M",2.3%,0.2%,1.0%,0.0%,1.2%
North Dakota,1993,$12.7M,$2.3M,$4.4M,$0.0M,$19.4M,$605.6M,$551.2M,$516.6M,$0.0M,"$1,673.4M",2.1%,0.4%,0.9%,,1.2%
North Dakota,1994,$14.4M,$3.7M,$3.2M,$0.0M,$21.3M,$581.2M,$549.1M,$507.0M,$13.5M,"$1,650.8M",2.5%,0.7%,0.6%,0.0%,1.3%
North Dakota,1995,$14.1M,$2.6M,$3.1M,$0.0M,$19.8M,$631.9M,$623.8M,$513.1M,$0.0M,"$1,768.8M",2.2%,0.4%,0.6%,,1.1%
North Dakota,1996,$15.0M,$3.2M,$4.2M,$0.0M,$22.4M,$637.9M,$595.9M,$536.9M,$18.1M,"$1,788.8M",2.4%,0.5%,0.8%,0.0%,1.3%
North Dakota,1997,$18.5M,$3.7M,$3.9M,$0.0M,$26.1M,$668.0M,$694.5M,$633.6M,$0.0M,"$1,996.1M",2.8%,0.5%,0.6%,,1.3%
North Dakota,1998,$21.3M,$7.6M,$4.1M,$1.4M,$34.4M,$708.8M,$808.5M,$508.6M,$7.1M,"$2,033.0M",3.0%,0.9%,0.8%,19.7%,1.7%
North Dakota,1999,$24.4M,$7.3M,$5.4M,$0.0M,$37.1M,$776.4M,$809.8M,$534.0M,$3.4M,"$2,123.6M",3.1%,0.9%,1.0%,0.0%,1.7%
North Dakota,2000,$28.0M,$5.0M,$5.0M,$2.0M,$40.0M,$773.0M,$917.0M,$527.0M,$39.0M,"$2,256.0M",3.6%,0.5%,0.9%,5.1%,1.8%
North Dakota,2001,$33.0M,$7.0M,$5.0M,$0.0M,$45.0M,$819.0M,$888.0M,$576.0M,$14.0M,"$2,297.0M",4.0%,0.8%,0.9%,0.0%,2.0%
North Dakota,2002,$36.0M,$5.0M,$5.0M,$0.0M,$46.0M,$862.0M,$960.0M,$608.0M,$10.0M,"$2,440.0M",4.2%,0.5%,0.8%,0.0%,1.9%
North Dakota,2003,$39.0M,$7.0M,$5.0M,$3.0M,$54.0M,$860.0M,"$1,102.0M",$842.0M,$20.0M,"$2,824.0M",4.5%,0.6%,0.6%,15.0%,1.9%
North Dakota,2004,$39.0M,$7.0M,$4.0M,$0.0M,$50.0M,$894.0M,"$1,164.0M",$832.0M,$35.0M,"$2,925.0M",4.4%,0.6%,0.5%,0.0%,1.7%
North Dakota,2005,$45.0M,$6.0M,$6.0M,$0.0M,$57.0M,$904.0M,"$1,217.0M",$983.0M,$81.0M,"$3,185.0M",5.0%,0.5%,0.6%,0.0%,1.8%
North Dakota,2006,$50.0M,$6.0M,$7.0M,$2.0M,$65.0M,$966.0M,"$1,263.0M","$1,017.0M",$49.0M,"$3,295.0M",5.2%,0.5%,0.7%,4.1%,2.0%
North Dakota,2007,$54.0M,$4.0M,$5.0M,$0.0M,$63.0M,"$1,012.0M","$1,239.0M","$1,050.0M",$68.0M,"$3,369.0M",5.3%,0.3%,0.5%,0.0%,1.9%
North Dakota,2008,$62.0M,$3.0M,$7.0M,$0.0M,$72.0M,"$1,204.0M","$1,241.0M","$1,125.0M",$27.0M,"$3,597.0M",5.1%,0.2%,0.6%,0.0%,2.0%
North Dakota,2009,$67.0M,$4.0M,$6.0M,$0.0M,$77.0M,"$1,240.0M","$1,362.0M","$1,329.0M",$10.0M,"$3,941.0M",5.4%,0.3%,0.5%,0.0%,2.0%
North Dakota,2010,$74.0M,$4.0M,$8.0M,$0.0M,$86.0M,"$1,595.0M","$1,857.0M","$1,394.3M",$20.0M,"$4,866.3M",4.6%,0.2%,0.6%,0.0%,1.8%
North Dakota,2011,$80.0M,$4.0M,$8.0M,$0.0M,$92.0M,"$1,615.0M","$1,813.5M","$1,568.0M",$21.0M,"$5,017.5M",5.0%,0.2%,0.5%,0.0%,1.8%
North Dakota,2012,$79.0M,$4.0M,$33.0M,$0.0M,$116.0M,"$2,223.0M","$1,884.0M","$1,902.0M",$11.0M,"$6,020.0M",3.6%,0.2%,1.7%,0.0%,1.9%
North Dakota,2013,$82.0M,$3.0M,$25.0M,$0.0M,$110.0M,"$2,220.0M","$1,536.0M","$1,950.0M",$6.0M,"$5,712.0M",3.7%,0.2%,1.3%,0.0%,1.9%
North Dakota,2014,$86.0M,$3.0M,$14.0M,$0.0M,$103.0M,"$3,237.0M","$1,523.0M","$1,816.0M",$16.0M,"$6,592.0M",2.7%,0.2%,0.8%,0.0%,1.6%
North Dakota,2015,$93.0M,$3.0M,$16.0M,$0.0M,$112.0M,"$3,338.0M","$1,713.0M","$2,853.0M",$19.0M,"$7,923.0M",2.8%,0.2%,0.6%,0.0%,1.4%
North Dakota,2016,$100.0M,$4.0M,$11.0M,$0.0M,$115.0M,"$3,013.0M","$1,607.0M","$2,832.0M",$7.0M,"$7,459.0M",3.3%,0.2%,0.4%,0.0%,1.5%
North Dakota,2017,$102.0M,$4.0M,$12.0M,$0.0M,$118.0M,"$2,600.0M","$1,616.0M","$2,574.0M",$2.0M,"$6,792.0M",3.9%,0.2%,0.5%,0.0%,1.7%
North Dakota,2018,$101.0M,$5.0M,$12.0M,$0.0M,$118.0M,"$2,103.0M","$1,472.0M","$2,289.0M",$25.0M,"$5,889.0M",4.8%,0.3%,0.5%,0.0%,2.0%
North Dakota,2019,$107.0M,$4.0M,$9.0M,$0.0M,$120.0M,"$2,159.0M","$1,639.0M","$2,746.0M",$47.0M,"$6,591.0M",5.0%,0.2%,0.3%,0.0%,1.8%
Ohio,1991,$586.9M,$8.5M,$75.1M,$52.0M,$722.5M,"$9,838.8M","$5,373.4M","$7,491.9M",$561.6M,"$23,265.7M",6.0%,0.2%,1.0%,9.3%,3.1%
Ohio,1992,$626.6M,$9.5M,$81.8M,$62.3M,$780.2M,"$10,095.8M","$5,426.1M","$7,909.3M",$670.2M,"$24,101.4M",6.2%,0.2%,1.0%,9.3%,3.2%
Ohio,1993,$693.0M,$10.7M,$89.4M,$67.7M,$860.8M,"$13,599.8M","$3,343.2M","$8,348.7M",$562.2M,"$25,853.9M",5.1%,0.3%,1.1%,12.0%,3.3%
Ohio,1994,$800.1M,$12.0M,$103.0M,$132.0M,"$1,047.1M","$14,433.1M","$4,164.7M","$9,338.2M",$695.7M,"$28,631.7M",5.5%,0.3%,1.1%,19.0%,3.7%
Ohio,1995,$944.4M,$12.9M,$120.3M,$127.4M,"$1,205.0M","$14,978.7M","$4,214.1M","$9,438.7M",$819.8M,"$29,451.3M",6.3%,0.3%,1.3%,15.5%,4.1%
Ohio,1996,"$1,064.4M",$14.4M,$133.2M,$115.9M,"$1,327.9M","$15,858.1M","$4,045.2M","$9,768.2M",$844.5M,"$30,516.0M",6.7%,0.4%,1.4%,13.7%,4.4%
Ohio,1997,"$1,201.2M",$18.8M,$146.5M,$91.1M,"$1,457.6M","$16,600.9M","$4,628.8M","$10,825.3M",$976.1M,"$33,031.1M",7.2%,0.4%,1.4%,9.3%,4.4%
Ohio,1998,"$1,293.1M",$16.6M,$147.7M,$122.9M,"$1,580.3M","$17,649.3M","$4,219.7M","$12,077.8M","$1,068.4M","$35,015.2M",7.3%,0.4%,1.2%,11.5%,4.5%
Ohio,1999,"$1,377.4M",$33.2M,$150.9M,$108.6M,"$1,670.1M","$18,017.0M","$4,414.1M","$12,714.1M","$1,065.6M","$36,210.8M",7.6%,0.8%,1.2%,10.2%,4.6%
Ohio,2000,"$1,512.0M",$32.0M,$161.0M,$159.0M,"$1,864.0M","$19,243.0M","$4,800.0M","$13,596.0M","$1,175.0M","$38,814.0M",7.9%,0.7%,1.2%,13.5%,4.8%
Ohio,2001,"$1,574.0M",$29.0M,$169.0M,$81.0M,"$1,853.0M","$21,143.0M","$5,400.0M","$14,649.0M","$1,104.0M","$42,296.0M",7.4%,0.5%,1.2%,7.3%,4.4%
Ohio,2002,"$1,576.0M",$21.0M,$154.0M,$74.0M,"$1,825.0M","$21,628.0M","$6,285.0M","$16,419.0M","$1,210.0M","$45,542.0M",7.3%,0.3%,0.9%,6.1%,4.0%
Ohio,2003,"$1,601.0M",$29.0M,$143.0M,$73.0M,"$1,846.0M","$22,653.0M","$6,923.0M","$15,780.0M","$1,443.0M","$46,799.0M",7.1%,0.4%,0.9%,5.1%,3.9%
Ohio,2004,"$1,622.0M",$32.0M,$152.0M,$62.0M,"$1,868.0M","$23,839.0M","$7,294.0M","$15,621.0M","$1,399.0M","$48,153.0M",6.8%,0.4%,1.0%,4.4%,3.9%
Ohio,2005,"$1,671.0M",$30.0M,$153.0M,$46.0M,"$1,900.0M","$24,830.0M","$8,002.0M","$16,479.0M","$1,354.0M","$50,665.0M",6.7%,0.4%,0.9%,3.4%,3.8%
Ohio,2006,"$1,713.0M",$25.0M,$173.0M,$56.0M,"$1,967.0M","$24,866.0M","$8,616.0M","$18,536.0M","$1,430.0M","$53,448.0M",6.9%,0.3%,0.9%,3.9%,3.7%
Ohio,2007,"$1,766.0M",$63.0M,$190.0M,$25.0M,"$2,044.0M","$25,148.0M","$8,350.0M","$18,536.0M","$1,414.0M","$53,448.0M",7.0%,0.8%,1.0%,1.8%,3.8%
Ohio,2008,"$1,794.0M",$29.0M,$187.0M,$25.0M,"$2,035.0M","$25,722.0M","$9,655.0M","$20,633.0M",$753.0M,"$56,763.0M",7.0%,0.3%,0.9%,3.3%,3.6%
Ohio,2009,"$2,022.2M",$35.5M,$3.1M,$36.5M,"$2,097.2M","$28,160.2M","$11,462.0M","$17,130.9M","$1,040.5M","$57,793.6M",7.2%,0.3%,0.0%,3.5%,3.6%
Ohio,2010,"$1,879.0M",$26.0M,$2.0M,$33.0M,"$1,940.0M","$25,401.0M","$14,237.0M","$16,864.0M","$1,128.0M","$57,630.0M",7.4%,0.2%,0.0%,2.9%,3.4%
Ohio,2011,"$1,887.4M",$21.6M,$1.1M,$40.3M,"$1,950.4M","$31,653.2M","$14,552.6M","$12,009.8M","$2,098.6M","$60,314.2M",6.0%,0.1%,0.0%,1.9%,3.2%
Ohio,2012,"$1,660.6M",$17.1M,$76.6M,$24.0M,"$1,778.3M","$26,394.7M","$13,143.9M","$16,369.8M","$2,012.7M","$57,921.2M",6.3%,0.1%,0.5%,1.2%,3.1%
Ohio,2013,"$1,727.0M",$14.6M,$72.6M,$25.5M,"$1,839.8M","$27,439.3M","$12,647.1M","$15,995.8M","$2,185.9M","$58,268.2M",6.3%,0.1%,0.5%,1.2%,3.2%
Ohio,2014,"$1,740.8M",$12.9M,$81.7M,$19.8M,"$1,855.2M","$28,901.8M","$13,045.8M","$17,140.7M","$2,133.2M","$61,221.5M",6.0%,0.1%,0.5%,0.9%,3.0%
Ohio,2015,"$1,741.8M",$11.0M,$81.2M,$42.0M,"$1,876.0M","$30,831.4M","$13,994.0M","$17,762.1M","$2,509.0M","$65,096.5M",5.6%,0.1%,0.5%,1.7%,2.9%
Ohio,2016,"$1,818.7M",$10.4M,$67.9M,$70.3M,"$1,967.3M","$33,590.9M","$12,493.3M","$18,875.6M","$2,490.2M","$67,450.0M",5.4%,0.1%,0.4%,2.8%,2.9%
Ohio,2017,"$1,880.4M",$7.5M,$61.1M,$76.5M,"$2,025.5M","$34,502.0M","$12,596.4M","$18,584.1M","$2,590.8M","$68,273.3M",5.5%,0.1%,0.3%,3.0%,3.0%
Ohio,2018,"$1,940.3M",$10.8M,$60.4M,$82.7M,"$2,094.3M","$31,727.2M","$15,113.1M","$19,974.7M","$2,867.9M","$69,682.9M",6.1%,0.1%,0.3%,2.9%,3.0%
Ohio,2019,"$2,007.5M",$9.8M,$69.6M,$110.0M,"$2,196.9M","$32,677.6M","$15,416.5M","$20,105.9M","$2,802.9M","$71,002.9M",6.1%,0.1%,0.3%,3.9%,3.1%
Oklahoma,1991,$168.7M,$0.1M,$15.9M,$0.0M,$184.7M,"$2,914.5M","$1,597.6M","$1,954.3M",$0.0M,"$6,466.4M",5.8%,0.0%,0.8%,,2.9%
